time_5,language,tone,participant,script,sensor,sound_intensity_max,sound_intensity_min,sound_intensity_mean,sound_intensity_median,sound_intensity_std,sound_intensity_missing
70,en,bus,subject1,t3,sound_intensity,48.973411324448094,20.043213737826427,34.3758777064309,33.85606273598312,9.574896870991166,0.0
75,en,bus,subject1,t3,sound_intensity,49.25095406000673,22.671717284030137,35.33173003372066,35.576274884268265,7.934523451500109,0.0
80,en,bus,subject1,t3,sound_intensity,48.4594099354628,19.912260756924947,33.25628974175583,34.731949092049376,8.428149060246145,0.0
85,en,bus,subject1,t3,sound_intensity,52.41665994741752,20.934216851622352,35.77544111193054,35.470358997400105,9.266975837487614,0.0
90,en,bus,subject1,t3,sound_intensity,50.00585902155538,20.21189299069938,34.607730015108324,36.17314933298294,10.282708342723764,0.0
95,en,bus,subject1,t3,sound_intensity,51.610294201051055,21.43014800254095,37.978581156121955,38.72971630738444,7.678593816576885,0.0
100,en,bus,subject1,t3,sound_intensity,51.30311248938025,18.808135922807917,36.83766132512146,37.53812783564702,9.257597468941519,0.0
105,en,bus,subject1,t3,sound_intensity,47.97959643737197,16.334684555795864,32.748824761278165,33.82557321908786,9.832363920609398,0.0
110,en,bus,subject1,t3,sound_intensity,51.63921321597549,16.812412373755873,33.57934514992762,33.71437317404101,10.794112077770503,0.0
115,en,bus,subject1,t3,sound_intensity,50.31396344236501,18.45098040014257,36.09230836888405,40.14394516273535,9.387985030693132,0.0
120,en,bus,subject1,t3,sound_intensity,50.67137837175272,19.294189257142925,34.02340645852748,35.33942750402399,9.509651625155456,0.0
125,en,bus,subject1,t3,sound_intensity,52.63304600287296,17.993405494535818,33.12324755314468,33.88456452700267,8.7961023404356,0.0
130,en,bus,subject1,t3,sound_intensity,50.16218272781338,19.34498451243568,36.2862889317184,38.08339968011813,9.096929179388665,0.0
135,en,bus,subject1,t3,sound_intensity,47.94474104397434,18.260748027008265,32.98489357478285,32.137832993353044,9.203230360036864,0.0
140,en,bus,subject1,t3,sound_intensity,48.16956798888182,18.750612633917,36.794699665954084,38.15387905980033,7.912496427082408,0.0
145,en,bus,subject1,t3,sound_intensity,48.37739909892655,20.293837776852097,35.29758624635124,35.04198918539445,8.420164048340759,0.0
150,en,bus,subject1,t3,sound_intensity,49.35678531498258,18.63322860120456,35.118864038682446,37.27459920857909,9.265580506380399,0.0
155,en,bus,subject1,t3,sound_intensity,51.86478857430765,16.532125137753436,35.39336397092833,37.91480116020001,10.145111507065792,0.0
160,en,bus,subject1,t3,sound_intensity,52.786438705908765,19.19078092376074,36.25430302205491,38.08210972924222,9.050178530728632,0.0
165,en,bus,subject1,t3,sound_intensity,48.726980740676765,18.573324964312683,37.876694812377764,41.31297796597622,8.692989486020583,0.0
170,en,bus,subject1,t3,sound_intensity,49.007548160446525,19.73127853599699,34.217321719088,34.596939764779705,9.211507436895001,0.0
175,en,bus,subject1,t3,sound_intensity,49.77462950395416,18.388490907372557,34.92933633207138,35.34418185306218,9.343592864474527,0.0
