time_5,language,tone,participant,script,sensor,pitch_max,pitch_min,pitch_mean,pitch_median,pitch_std,pitch_missing
95,ch,casual,subject1,t1,pitch,517.265625,0.0,87.61699666887655,98.73583984375,101.55270068026232,25.333333333333336
100,ch,casual,subject1,t1,pitch,540.46875,0.0,128.2741834707204,134.5458519345238,105.96362715018769,30.666666666666664
105,ch,casual,subject1,t1,pitch,446.484375,0.0,86.63575628840246,107.578125,86.30029568672317,17.333333333333336
110,ch,casual,subject1,t1,pitch,139.44010416666669,0.0,4.225457702020202,0.0,24.27340647955167,5.714285714285714
0,ch,bus,subject1,t4,pitch,262.1875,0.0,62.41084005750524,0.0,76.01061319135532,19.736842105263158
5,ch,bus,subject1,t4,pitch,376.5625,0.0,124.60344590092981,110.966796875,96.34220397568376,32.0
10,ch,bus,subject1,t4,pitch,3256.5625,0.0,150.289529977287,106.14908854166666,430.76634937191886,24.0
15,ch,bus,subject1,t4,pitch,374.6484375,0.0,96.77943483382936,118.84099082341268,98.16577566771879,25.333333333333336
20,ch,bus,subject1,t4,pitch,412.734375,0.0,103.4679067183514,108.38541666666669,101.1960829270617,25.333333333333336
25,ch,bus,subject1,t4,pitch,500.0334821428571,0.0,115.61915910092993,104.1015625,126.02063754077082,26.666666666666668
30,ch,bus,subject1,t4,pitch,516.5625,0.0,164.6376576603989,126.908203125,126.2915768264963,28.000000000000004
35,ch,bus,subject1,t4,pitch,246.328125,0.0,75.89328480706976,98.935546875,72.3910819751226,24.0
40,ch,bus,subject1,t4,pitch,3293.90625,0.0,272.9803098648314,128.927734375,612.5283606800301,25.333333333333336
45,ch,bus,subject1,t4,pitch,656.25,0.0,111.17439213051783,114.53125,115.28788577751439,26.666666666666668
50,ch,bus,subject1,t4,pitch,403.4375,0.0,119.62686795728513,130.86545138888889,84.73431161889712,29.333333333333332
55,ch,bus,subject1,t4,pitch,428.59375,0.0,121.70399560043786,110.7443576388889,103.99992023793634,29.333333333333332
60,ch,bus,subject1,t4,pitch,644.53125,0.0,94.84379884083074,97.99453125,129.06983452866797,18.666666666666668
65,ch,bus,subject1,t4,pitch,1004.2643229166669,0.0,150.37262998302495,113.5827907986111,199.15290268284127,28.000000000000004
70,ch,bus,subject1,t4,pitch,700.78125,0.0,96.67672178605638,111.1341300843254,119.62638696186916,22.666666666666664
75,ch,bus,subject1,t4,pitch,375.9375,0.0,98.04750011473534,117.06728980654762,93.6920283904709,22.666666666666664
80,ch,bus,subject1,t4,pitch,570.9654017857142,0.0,147.09014869678933,125.42317708333334,127.35764121071007,26.666666666666668
85,ch,bus,subject1,t4,pitch,681.2317708333333,0.0,141.72775171876737,110.3125,160.54870968563185,26.666666666666668
90,ch,bus,subject1,t4,pitch,517.96875,0.0,106.7943928832498,102.7734375,128.67522464969306,24.0
