time_1.5,language,tone,participant,script,sensor,pitch_max,pitch_min,pitch_mean,pitch_median,pitch_std
141.0,en,casual,yaoyi,t3,sound_intensity,42.97694869693074,24.265112613645755,34.89031570847728,35.190110742456156,6.727751708550474
142.5,en,casual,yaoyi,t3,sound_intensity,48.537955217658045,25.514499979728757,37.47019124006201,37.98305282021977,6.444286814396949
144.0,en,casual,yaoyi,t3,sound_intensity,42.71237354470836,27.275412570285567,36.74526656558268,37.96350707319279,4.732776522879773
145.5,en,casual,yaoyi,t3,sound_intensity,46.77059177392161,20.170333392987803,31.438778009833992,28.727388274726685,8.141616042581855
147.0,en,casual,yaoyi,t3,sound_intensity,46.53887558070977,22.013971243204512,36.810561894126245,37.031574510032826,7.323475190359091
148.5,en,casual,yaoyi,t3,sound_intensity,45.42962289039381,28.162412999917837,39.692402345818266,41.523189274246455,5.345184535994968
150.0,en,casual,yaoyi,t3,sound_intensity,42.57942430573135,20.492180226701816,30.892922634414084,29.9292242397336,6.982963748511726
151.5,en,casual,yaoyi,t3,sound_intensity,56.52737425379455,21.84691430817599,38.393107541670105,37.3471984165568,11.448869808213438
153.0,en,casual,yaoyi,t3,sound_intensity,53.67964997141532,24.1161970596323,41.216614995627324,45.00003933152355,9.66522933444388
154.5,en,casual,yaoyi,t3,sound_intensity,52.06931065060986,22.62451089730429,34.610290302587266,33.43408593803857,8.987651636032934
156.0,en,casual,yaoyi,t3,sound_intensity,47.5413419409619,25.50228353055094,36.42664544129896,34.416140299625354,7.557765703682036
157.5,en,casual,yaoyi,t3,sound_intensity,49.046127735286646,22.4551266781415,33.99097424238441,30.74450718954591,8.852757353705119
159.0,en,casual,yaoyi,t3,sound_intensity,53.89485040708146,28.413594704548547,40.99692284131243,41.79862636622224,8.386426306633478
160.5,en,casual,yaoyi,t3,sound_intensity,51.12128893307023,25.877109650189112,38.65485668087306,38.82581453554452,8.136832422081756
162.0,en,casual,yaoyi,t3,sound_intensity,44.46428424513265,25.563025007672877,34.80405945929134,33.680245435722085,6.192374444162543
163.5,en,casual,yaoyi,t3,sound_intensity,46.60542956258607,24.60897842756548,36.39394940526464,38.67997510344951,6.1191685383749554
165.0,en,casual,yaoyi,t3,sound_intensity,49.3062306071968,24.04833716619938,35.652862175506066,33.26429475348276,7.313562623110539
166.5,en,casual,yaoyi,t3,sound_intensity,44.10760367244588,26.884198220027105,36.80492856292316,36.40382044709568,5.122771766389219
168.0,en,casual,yaoyi,t3,sound_intensity,43.15487527750822,19.86771734266245,29.37783185641231,27.27196784444085,7.404583340656725
169.5,en,casual,yaoyi,t3,sound_intensity,49.3644336498581,24.50249108319361,35.70869015716155,34.9996186559619,6.975944368573833
171.0,en,casual,yaoyi,t3,sound_intensity,47.60490336635115,22.85557309007774,34.3177747643733,31.553891258062674,7.523081015363695
172.5,en,casual,yaoyi,t3,sound_intensity,46.79100689670424,25.888317255942077,37.482252261765574,40.56942945672877,7.251994497416054
174.0,en,casual,yaoyi,t3,sound_intensity,47.370892269447765,23.72912002970107,37.629537610452594,38.8317039048514,7.905826794092794
175.5,en,casual,yaoyi,t3,sound_intensity,48.642083933806674,23.838153659804316,36.76498805554889,37.923216363515735,7.7248726005751145
177.0,en,casual,yaoyi,t3,sound_intensity,48.07359109943939,21.81843587944773,36.33899589035416,37.26320278355338,8.59878853156539
178.5,en,casual,yaoyi,t3,sound_intensity,45.350661505798286,17.558748556724915,33.53260173529797,35.01059262217752,8.307069262733966
180.0,en,casual,yaoyi,t3,sound_intensity,51.99088418471761,23.344537511509312,36.510626641215985,36.78102829986762,7.844912623053463
181.5,en,casual,yaoyi,t3,sound_intensity,49.05202028662319,21.27104798364808,34.51893260057918,34.124605474299614,8.721813121445487
183.0,en,casual,yaoyi,t3,sound_intensity,54.55338303830879,24.424797690644485,40.00596254611603,42.00633813166567,9.113567886794165
184.5,en,casual,yaoyi,t3,sound_intensity,49.188320969292285,29.29418925714293,42.427891663744795,43.94101302040045,5.015208946700179
186.0,en,casual,yaoyi,t3,sound_intensity,48.23852278991565,22.600713879850748,36.43584560107468,37.05110067995288,6.1882670934934545
187.5,en,casual,yaoyi,t3,sound_intensity,44.964729839273005,22.068258760318496,33.781657490457484,35.45554507234065,7.423344294870265
189.0,en,casual,yaoyi,t3,sound_intensity,44.24767333568977,18.325089127062363,30.038263331369162,28.28614481093608,7.97966984705057
190.5,en,casual,yaoyi,t3,sound_intensity,51.464660333928194,25.2244423350632,37.29154794879296,35.40454613671412,7.0605781348225465
192.0,en,casual,yaoyi,t3,sound_intensity,47.5671976462423,25.289167002776548,37.99589688756038,40.58277019114622,6.690493575858691
193.5,en,casual,yaoyi,t3,sound_intensity,47.53038892576265,24.424797690644485,38.375999092878,39.31610406362962,6.88302702505789
195.0,en,casual,yaoyi,t3,sound_intensity,49.42419817096475,28.58537197569639,40.18793694104797,42.857151402804234,6.301901283974643
196.5,en,casual,yaoyi,t3,sound_intensity,52.5672015070218,20.37426497940624,31.641273401749636,28.06179973983887,7.663947576773274
198.0,en,casual,yaoyi,t3,sound_intensity,52.87924837204528,23.61727836017593,41.425784466988006,45.16652067157021,8.297279898177
199.5,en,casual,yaoyi,t3,sound_intensity,48.64760194956592,23.820170425748685,34.64090441936073,32.56477206241677,7.665106111225343
201.0,en,casual,yaoyi,t3,sound_intensity,45.92398846115564,25.71708831808688,37.08725606693131,36.8976335339981,5.405602809057463
202.5,en,casual,yaoyi,t3,sound_intensity,49.08817314656706,24.23245873936808,36.4073841773811,38.44787718827846,7.187666666879988
204.0,en,casual,yaoyi,t3,sound_intensity,49.112535159490704,25.40329474790873,35.87138879833233,34.00122228622068,7.736377868018686
205.5,en,casual,yaoyi,t3,sound_intensity,51.25211170928363,23.180633349627616,36.41993543959733,33.40245761567932,8.061485388903598
207.0,en,casual,yaoyi,t3,sound_intensity,52.15296443573365,23.22219294733919,32.19200985374392,27.478214202292847,9.552413125000365
208.5,en,casual,yaoyi,t3,sound_intensity,49.54801906348716,21.43014800254095,34.11292963036425,33.296012483565185,8.329750082700123
210.0,en,casual,yaoyi,t3,sound_intensity,50.00750680302296,26.294095991027188,37.84177820538438,37.49339284621726,7.2921322181585095
211.5,en,casual,yaoyi,t3,sound_intensity,53.10504262846038,23.483048630481605,35.733429343400175,35.765716840652914,10.367838994282224
213.0,en,casual,yaoyi,t3,sound_intensity,51.53232366891999,30.00434077479319,39.878902697975676,39.2721652186794,7.06199785380235
214.5,en,casual,yaoyi,t3,sound_intensity,48.72465124076491,28.182258936139554,40.06529896461959,41.86249820779088,6.829331004081708
216.0,en,casual,yaoyi,t3,sound_intensity,49.1253557093719,24.60897842756548,36.666470339499654,37.65094673377007,7.466976862787063
217.5,en,casual,yaoyi,t3,sound_intensity,52.29878855226828,22.55272505103306,32.36971492416148,29.99130541287371,7.062784093586738
219.0,en,casual,yaoyi,t3,sound_intensity,52.97281100536658,33.68100851709352,42.19620012279259,41.7134921967226,5.933037558987705
220.5,en,casual,yaoyi,t3,sound_intensity,48.98769047503566,23.50248018334163,34.8573787858372,32.89365951520032,6.9356117828420345
222.0,en,casual,yaoyi,t3,sound_intensity,45.51596364704105,23.010299956639813,35.85785421156244,35.89104171442538,7.105315966684996
223.5,en,casual,yaoyi,t3,sound_intensity,46.697816152085366,25.61101383649056,37.22862750322174,39.50462218905598,7.018820919987078
225.0,en,casual,yaoyi,t3,sound_intensity,45.17934494185653,23.15970345456918,31.523854815802782,29.623964486860032,6.465217508833678
226.5,en,casual,yaoyi,t3,sound_intensity,50.378884371349095,22.69512944217916,37.70358966840247,36.33973155789674,10.57919106689118
228.0,en,casual,yaoyi,t3,sound_intensity,44.41050676746221,22.81033367247728,32.3164478443365,31.082011948873753,7.764663983422112
229.5,en,casual,yaoyi,t3,sound_intensity,43.84980295651304,27.209857441537388,36.44533942777478,36.98535492562001,5.523738459235812
231.0,en,casual,yaoyi,t3,sound_intensity,36.76236216763312,19.912260756924947,26.232424156738716,25.27627988833749,4.306205509021066
232.5,en,casual,yaoyi,t3,sound_intensity,52.61835997139687,23.944516808262165,37.508504055181476,37.48188027006201,8.05696955506143
234.0,en,casual,yaoyi,t3,sound_intensity,50.336167323761074,23.856062735983123,34.330044935763596,33.04679208788055,9.337795278172582
235.5,en,casual,yaoyi,t3,sound_intensity,50.83230204537462,26.13841821876069,37.14722009257864,37.2607487021537,7.395760912945619
237.0,en,casual,yaoyi,t3,sound_intensity,50.156824219534506,20.96910013008056,34.02885202214278,32.465211897021625,9.268012864875658
238.5,en,casual,yaoyi,t3,sound_intensity,50.436530204228696,23.961993470957363,39.20553021887981,41.56700552582017,8.52615435804942
240.0,en,casual,yaoyi,t3,sound_intensity,47.89460841626458,24.44044795918076,33.835632268124606,29.93865300042035,8.164122753706883
241.5,en,casual,yaoyi,t3,sound_intensity,49.07045711534635,28.60338006570993,42.643797497064604,44.50772410377385,5.833840268712837
243.0,en,casual,yaoyi,t3,sound_intensity,47.55874855672492,24.727564493172125,38.49366771825334,40.978410164784876,7.270510600591145
244.5,en,casual,yaoyi,t3,sound_intensity,55.34367565983884,23.856062735983123,39.258568112221134,42.86074553875574,9.483040741901666
246.0,en,casual,yaoyi,t3,sound_intensity,51.12534624041491,30.565237240791006,41.09223676603825,43.269115268784844,6.539584278820736
247.5,en,casual,yaoyi,t3,sound_intensity,47.20308178851134,26.364878963533656,36.611671004990484,36.20344299754493,7.16907209083388
249.0,en,casual,yaoyi,t3,sound_intensity,56.24849093637519,22.671717284030137,38.99131585977985,36.863938664024715,10.373723413963894
250.5,en,casual,yaoyi,t3,sound_intensity,52.03457178053962,28.48804701051804,42.83024238350673,44.5048005460606,6.622388570588599
252.0,en,casual,yaoyi,t3,sound_intensity,48.939558477619,24.668676203541096,36.99673979686378,37.34945182067274,8.114218041083141
253.5,en,casual,yaoyi,t3,sound_intensity,49.05077756958419,20.89905111439398,33.59142135894132,34.6314613672635,9.495802779588546
255.0,en,casual,yaoyi,t3,sound_intensity,50.49741187389185,23.69215857410143,38.77935167286479,38.21715756992462,7.948030333887427
256.5,en,casual,yaoyi,t3,sound_intensity,53.07720614914806,19.19078092376074,36.71262061157455,38.560639533331,11.701268599696053
258.0,en,casual,yaoyi,t3,sound_intensity,53.51775055312568,24.099331233312945,36.34266447662955,34.11561760984359,9.799876239640994
259.5,en,casual,yaoyi,t3,sound_intensity,48.97115532062707,24.45604203273598,40.02996320369276,40.60395617319909,6.744398249984694
261.0,en,casual,yaoyi,t3,sound_intensity,44.95350040967403,25.06505032404872,33.70101793544265,32.43638281909179,5.4460371238029746
262.5,en,casual,yaoyi,t3,sound_intensity,44.58078570949283,23.57934847000454,36.086246209797906,38.080082999104,7.002693959491421
264.0,en,casual,yaoyi,t3,sound_intensity,45.3341614179589,23.201462861110542,37.12986147442107,39.4874843019269,6.737264231384138
265.5,en,casual,yaoyi,t3,sound_intensity,46.88615566379256,20.569048513364727,30.972869344023476,30.54613054556888,6.711458730155134
