"Time (ms)","Recording (a.u.)"
9.668680975E0,-2.318739862E-4
9.689518650E0,-2.361993247E-4
9.710356324E0,-2.118691336E-4
9.731193999E0,-2.001038811E-4
9.752031673E0,-1.611234329E-4
9.772869348E0,-2.026708098E-4
9.793707022E0,-2.122025035E-4
9.814544697E0,-1.724288741E-4
9.835382371E0,-2.181025629E-4
9.856220046E0,-2.206155041E-4
9.877057720E0,-2.031639015E-4
9.897895395E0,-2.011637844E-4
9.918733069E0,-1.970333979E-4
9.939570744E0,-1.968800352E-4
9.960408418E0,-1.842670172E-4
9.981246093E0,-2.266927913E-4
1.000208377E1,-2.487101592E-4
1.002292144E1,-2.264304494E-4
1.004375912E1,-2.664884669E-4
1.006459679E1,-3.103882191E-4
1.008543447E1,-3.188211122E-4
1.010627214E1,-3.184222733E-4
1.012710981E1,-3.188959381E-4
1.014794749E1,-3.150320845E-4
1.016878516E1,-2.872752957E-4
1.018962284E1,-2.864665876E-4
1.021046051E1,-2.918039681E-4
1.023129819E1,-2.864426351E-4
1.025213586E1,-2.918404643E-4
1.027297354E1,-2.722482313E-4
1.029381121E1,-2.862744150E-4
1.031464889E1,-3.206501715E-4
1.033548656E1,-3.286478168E-4
1.035632423E1,-3.224047832E-4
1.037716191E1,-3.070810926E-4
1.039799958E1,-3.399687994E-4
1.041883726E1,-3.666368430E-4
1.043967493E1,-3.864942119E-4
1.046051261E1,-4.332678218E-4
1.048135028E1,-4.215832159E-4
1.050218796E1,-4.032148281E-4
1.052302563E1,-4.494885216E-4
1.054386330E1,-4.891998833E-4
1.056470098E1,-4.987015272E-4
1.058553865E1,-5.236754660E-4
1.060637633E1,-5.325552775E-4
1.062721400E1,-5.085328594E-4
1.064805168E1,-4.922451335E-4
1.066888935E1,-5.064861616E-4
1.068972703E1,-5.643300246E-4
1.071056470E1,-5.941273412E-4
1.073140238E1,-5.940230913E-4
1.075224005E1,-5.996456603E-4
1.077307772E1,-5.797037156E-4
1.079391540E1,-5.700170295E-4
1.081475307E1,-5.733877188E-4
1.083559075E1,-5.989315687E-4
1.085642842E1,-6.366667221E-4
1.087726610E1,-6.540688919E-4
1.089810377E1,-6.563835777E-4
1.091894145E1,-6.249503931E-4
1.093977912E1,-5.962399300E-4
1.096061680E1,-5.956930108E-4
1.098145447E1,-5.987653858E-4
1.100229214E1,-5.921066040E-4
1.102312982E1,-5.840903614E-4
1.104396749E1,-5.849798908E-4
1.106480517E1,-5.757162580E-4
1.108564284E1,-5.719467299E-4
1.110648052E1,-6.007814081E-4
1.112731819E1,-6.080585299E-4
1.114815587E1,-5.665637436E-4
1.116899354E1,-5.615234259E-4
1.118983121E1,-5.773802986E-4
1.121066889E1,-5.660079769E-4
1.123150656E1,-5.734808510E-4
1.125234424E1,-6.112949341E-4
1.127318191E1,-6.399083068E-4
1.129401959E1,-6.123151397E-4
1.131485726E1,-6.116567529E-4
1.133569494E1,-6.302358815E-4
1.135653261E1,-5.972908693E-4
1.137737029E1,-6.053810939E-4
1.139820796E1,-6.171291461E-4
1.141904563E1,-6.114150165E-4
1.143988331E1,-6.286374992E-4
1.146072098E1,-6.451163208E-4
1.148155866E1,-6.594858132E-4
1.150239633E1,-6.666310364E-4
1.152323401E1,-7.032616995E-4
1.154407168E1,-7.102505770E-4
1.156490936E1,-6.741005345E-4
1.158574703E1,-6.809707265E-4
1.160658471E1,-6.833639927E-4
1.162742238E1,-6.762900157E-4
1.164826005E1,-6.806198508E-4
1.166909773E1,-6.831169594E-4
1.168993540E1,-6.642814260E-4
1.171077308E1,-6.348018651E-4
1.173161075E1,-6.376958336E-4
1.175244843E1,-6.534899585E-4
1.177328610E1,-6.578765460E-4
1.179412378E1,-6.208572304E-4
1.181496145E1,-6.250233855E-4
1.183579912E1,-6.550016697E-4
1.185663680E1,-6.029008655E-4
1.187747447E1,-5.685650976E-4
1.189831215E1,-5.612972891E-4
1.191914982E1,-5.533835501E-4
1.193998750E1,-5.237092264E-4
1.196082517E1,-4.970098380E-4
1.198166285E1,-5.248970701E-4
1.200250052E1,-5.004249979E-4
1.202333820E1,-4.507604754E-4
1.204417587E1,-4.618137609E-4
1.206501354E1,-4.880452761E-4
1.208585122E1,-4.739480792E-4
1.210668889E1,-4.786140635E-4
1.212752657E1,-5.043753772E-4
1.214836424E1,-4.823803320E-4
1.216920192E1,-4.786844074E-4
1.219003959E1,-4.932027077E-4
1.221087727E1,-4.885451635E-4
1.223171494E1,-4.756043199E-4
1.225255262E1,-4.679447738E-4
1.227339029E1,-4.934541648E-4
1.229422796E1,-4.976680502E-4
1.231506564E1,-4.766554630E-4
1.233590331E1,-4.766312195E-4
1.235674099E1,-4.660628038E-4
1.237757866E1,-4.317434505E-4
1.239841634E1,-3.849647474E-4
1.241925401E1,-3.499076120E-4
1.244009169E1,-3.530610702E-4
1.246092936E1,-3.618322953E-4
1.248176703E1,-3.820335842E-4
1.250260471E1,-4.254761734E-4
1.252344238E1,-4.381495528E-4
1.254428006E1,-4.422141355E-4
1.256511773E1,-4.744465696E-4
1.258595541E1,-4.709699424E-4
1.260679308E1,-4.550748854E-4
1.262763076E1,-4.865456722E-4
1.264846843E1,-4.793917178E-4
1.266930611E1,-4.535167245E-4
1.269014378E1,-4.583442351E-4
1.271098145E1,-4.035459133E-4
1.273181913E1,-3.721103130E-4
1.275265680E1,-3.976889420E-4
1.277349448E1,-3.647740232E-4
1.279433215E1,-3.716821957E-4
1.281516983E1,-3.695726919E-4
1.283600750E1,-3.120494948E-4
1.285684518E1,-3.533589188E-4
1.287768285E1,-3.811001079E-4
1.289852053E1,-3.857061383E-4
1.291935820E1,-4.085982218E-4
1.294019587E1,-4.068223061E-4
1.296103355E1,-4.377379664E-4
1.298187122E1,-4.123904801E-4
1.300270890E1,-3.810318594E-4
1.302354657E1,-3.769161995E-4
1.304438425E1,-3.345450386E-4
1.306522192E1,-3.057845170E-4
1.308605960E1,-2.784343087E-4
1.310689727E1,-2.669050300E-4
1.312773494E1,-2.452188637E-4
1.314857262E1,-2.458176750E-4
1.316941029E1,-2.423056285E-4
1.319024797E1,-2.074343356E-4
1.321108564E1,-2.296956809E-4
1.323192332E1,-1.902103249E-4
1.325276099E1,-1.553511538E-4
1.327359867E1,-1.786306239E-4
1.329443634E1,-1.476343314E-4
1.331527402E1,-1.607516315E-4
1.333611169E1,-1.741042070E-4
1.335694936E1,-1.617192320E-4
1.337778704E1,-2.142837911E-4
1.339862471E1,-2.050821640E-4
1.341946239E1,-1.636832021E-4
1.344030006E1,-2.088517067E-4
1.346113774E1,-2.039568935E-4
1.348197541E1,-2.024711721E-4
1.350281309E1,-2.386673877E-4
1.352365076E1,-2.037455561E-4
1.354448844E1,-2.223751799E-4
1.356532611E1,-2.489214530E-4
1.358616378E1,-2.053273492E-4
1.360700146E1,-1.784401829E-4
1.362783913E1,-1.567080908E-4
1.364867681E1,-1.061327057E-4
1.366951448E1,-3.819122867E-5
1.369035216E1,-1.820107536E-5
1.371118983E1,-2.218479494E-5
1.373202751E1,4.779431947E-6
1.375286518E1,1.840106052E-5
1.377370285E1,-2.909046816E-5
1.379454053E1,-8.497246745E-5
1.381537820E1,-8.330951096E-5
1.383621588E1,-9.409778431E-5
1.385705355E1,-1.174592762E-4
1.387789123E1,-9.229092393E-5
1.389872890E1,-7.437101158E-5
1.391956658E1,-8.552031068E-5
1.394040425E1,-7.193113561E-5
1.396124193E1,-5.650860840E-5
1.398207960E1,-3.995087900E-5
1.400291727E1,6.125519576E-6
1.402375495E1,-9.090501408E-6
1.404459262E1,-2.768876220E-5
1.406543030E1,1.080413494E-5
1.408626797E1,-1.217490353E-5
1.410710565E1,-2.881650289E-5
1.412794332E1,-1.363326191E-5
1.414878100E1,-9.095777386E-6
1.416961867E1,1.935623368E-5
1.419045635E1,5.850805792E-6
1.421129402E1,3.451530938E-5
1.423213169E1,4.771618114E-5
1.425296937E1,-7.919397831E-6
1.427380704E1,5.647778380E-5
1.429464472E1,7.888156688E-5
1.431548239E1,6.092765034E-5
1.433632007E1,6.561115151E-5
1.435715774E1,3.768011811E-5
1.437799542E1,7.065809041E-5
1.439883309E1,5.095557208E-5
1.441967076E1,4.749765867E-5
1.444050844E1,9.479993605E-5
1.446134611E1,1.092577222E-4
1.448218379E1,1.333183609E-4
1.450302146E1,1.398630993E-4
1.452385914E1,1.769669179E-4
1.454469681E1,2.005564602E-4
1.456553449E1,2.285928640E-4
1.458637216E1,2.811286540E-4
1.460720984E1,2.898150124E-4
1.462804751E1,3.138655156E-4
1.464888518E1,3.381510614E-4
1.466972286E1,3.595395247E-4
1.469056053E1,3.608695406E-4
1.471139821E1,3.246575361E-4
1.473223588E1,2.933109354E-4
1.475307356E1,2.078444813E-4
1.477391123E1,8.445874118E-5
1.479474891E1,-1.166058064E-5
