"Time (ms)","Recording (a.u.)"
6.688893519E0,-5.187988281E-4
6.709731194E0,-2.136230469E-4
6.730568869E0,-2.441406250E-4
6.751406543E0,-1.525878906E-4
6.772244218E0,-2.441406250E-4
6.793081892E0,-8.850097656E-4
6.813919567E0,-2.746582031E-4
6.834757241E0,-3.051757812E-4
6.855594916E0,-3.662109375E-4
6.876432590E0,-5.187988281E-4
6.897270265E0,-6.713867188E-4
6.918107939E0,-3.662109375E-4
6.938945614E0,-7.324218750E-4
6.959783288E0,-5.798339844E-4
6.980620963E0,-7.629394531E-4
7.001458637E0,-3.967285156E-4
7.022296312E0,-3.356933594E-4
7.043133986E0,-6.713867188E-4
7.063971661E0,-3.356933594E-4
7.084809335E0,-6.103515625E-4
7.105647010E0,-3.662109375E-4
7.126484684E0,-5.798339844E-4
7.147322359E0,-3.967285156E-4
7.168160033E0,-5.187988281E-4
7.188997708E0,-5.493164062E-4
7.209835382E0,-9.155273438E-5
7.230673057E0,-6.103515625E-4
7.251510731E0,-9.155273438E-5
7.272348406E0,-5.798339844E-4
7.293186080E0,-1.220703125E-4
7.314023755E0,-1.831054688E-4
7.334861429E0,-2.136230469E-4
7.355699104E0,0.000000000E0
7.376536778E0,-1.831054688E-4
7.397374453E0,9.155273438E-5
7.418212128E0,-3.356933594E-4
7.439049802E0,0.000000000E0
7.459887477E0,-6.103515625E-5
7.480725151E0,3.662109375E-4
7.501562826E0,2.136230469E-4
7.522400500E0,2.136230469E-4
7.543238175E0,5.493164062E-4
7.564075849E0,6.103515625E-5
7.584913524E0,5.493164062E-4
7.605751198E0,1.831054688E-4
7.626588873E0,5.187988281E-4
7.647426547E0,6.103515625E-4
7.668264222E0,3.356933594E-4
7.689101896E0,8.239746094E-4
7.709939571E0,4.272460938E-4
7.730777245E0,7.324218750E-4
7.751614920E0,4.272460938E-4
7.772452594E0,7.934570312E-4
7.793290269E0,6.713867188E-4
7.814127943E0,6.713867188E-4
7.834965618E0,9.765625000E-4
7.855803292E0,6.408691406E-4
7.876640967E0,8.239746094E-4
7.897478641E0,7.019042969E-4
7.918316316E0,1.129150391E-3
7.939153990E0,9.155273438E-4
7.959991665E0,8.544921875E-4
7.980829339E0,1.007080078E-3
8.001667014E0,1.159667969E-3
8.022504688E0,1.129150391E-3
8.043342363E0,8.239746094E-4
8.064180038E0,1.068115234E-3
8.085017712E0,1.007080078E-3
8.105855387E0,1.129150391E-3
8.126693061E0,1.159667969E-3
8.147530736E0,9.765625000E-4
8.168368410E0,1.098632812E-3
8.189206085E0,6.408691406E-4
8.210043759E0,1.037597656E-3
8.230881434E0,9.765625000E-4
8.251719108E0,1.281738281E-3
8.272556783E0,1.098632812E-3
8.293394457E0,1.007080078E-3
8.314232132E0,1.281738281E-3
8.335069806E0,7.629394531E-4
8.355907481E0,1.037597656E-3
8.376745155E0,9.155273438E-4
8.397582830E0,1.007080078E-3
8.418420504E0,9.765625000E-4
8.439258179E0,1.068115234E-3
8.460095853E0,6.103515625E-4
8.480933528E0,7.324218750E-4
8.501771202E0,6.713867188E-4
8.522608877E0,6.713867188E-4
8.543446551E0,6.408691406E-4
8.564284226E0,5.798339844E-4
8.585121900E0,7.629394531E-4
8.605959575E0,3.662109375E-4
8.626797249E0,6.713867188E-4
8.647634924E0,6.408691406E-4
8.668472598E0,5.493164062E-4
8.689310273E0,5.187988281E-4
8.710147947E0,3.356933594E-4
8.730985622E0,4.577636719E-4
8.751823297E0,3.356933594E-4
8.772660971E0,3.662109375E-4
8.793498646E0,3.051757812E-5
8.814336320E0,1.525878906E-4
8.835173995E0,3.967285156E-4
8.856011669E0,-6.103515625E-5
8.876849344E0,1.525878906E-4
8.897687018E0,6.103515625E-5
8.918524693E0,9.155273438E-5
8.939362367E0,-1.525878906E-4
8.960200042E0,-5.493164062E-4
8.981037716E0,-1.831054688E-4
9.001875391E0,-3.967285156E-4
9.022713065E0,-3.967285156E-4
9.043550740E0,-5.187988281E-4
9.064388414E0,-4.272460938E-4
9.085226089E0,-7.324218750E-4
9.106063763E0,-1.037597656E-3
9.126901438E0,-9.155273438E-4
9.147739112E0,-1.129150391E-3
9.168576787E0,-7.629394531E-4
9.189414461E0,-9.155273438E-4
9.210252136E0,-7.629394531E-4
9.231089810E0,-8.850097656E-4
9.251927485E0,-1.037597656E-3
9.272765159E0,-9.460449219E-4
9.293602834E0,-1.159667969E-3
9.314440508E0,-9.460449219E-4
9.335278183E0,-1.068115234E-3
9.356115857E0,-1.129150391E-3
9.376953532E0,-1.220703125E-3
9.397791207E0,-1.129150391E-3
9.418628881E0,-1.068115234E-3
9.439466556E0,-9.155273438E-4
9.460304230E0,-1.068115234E-3
9.481141905E0,-9.765625000E-4
9.501979579E0,-8.239746094E-4
9.522817254E0,-1.251220703E-3
9.543654928E0,-7.934570312E-4
9.564492603E0,-9.155273438E-4
9.585330277E0,-1.129150391E-3
9.606167952E0,-8.544921875E-4
9.627005626E0,-1.098632812E-3
9.647843301E0,-6.103515625E-4
9.668680975E0,-9.460449219E-4
9.689518650E0,-1.007080078E-3
9.710356324E0,-7.019042969E-4
9.731193999E0,-8.239746094E-4
9.752031673E0,-5.798339844E-4
9.772869348E0,-7.324218750E-4
9.793707022E0,-5.798339844E-4
9.814544697E0,-4.577636719E-4
9.835382371E0,-3.356933594E-4
9.856220046E0,-3.662109375E-4
9.877057720E0,-1.220703125E-4
9.897895395E0,-3.662109375E-4
9.918733069E0,-1.220703125E-4
9.939570744E0,-3.051757812E-5
9.960408418E0,-9.155273438E-5
9.981246093E0,2.441406250E-4
1.000208377E1,-2.441406250E-4
