Delay (ms),Autocorrelation (a.u.),sensor,language,tone,participant,script
7.418212128,9.86669625e-09,autocorrelations,en,bus,duru,t1
7.439049802,1.033279653e-08,autocorrelations,en,bus,duru,t1
7.459887477,1.080728353e-08,autocorrelations,en,bus,duru,t1
7.480725151,1.143297548e-08,autocorrelations,en,bus,duru,t1
7.501562826,1.215480839e-08,autocorrelations,en,bus,duru,t1
7.5224005,1.298501587e-08,autocorrelations,en,bus,duru,t1
7.543238175,1.344248088e-08,autocorrelations,en,bus,duru,t1
7.564075849,1.380149949e-08,autocorrelations,en,bus,duru,t1
7.584913524,1.449743412e-08,autocorrelations,en,bus,duru,t1
7.605751198,1.501245792e-08,autocorrelations,en,bus,duru,t1
7.626588873,1.543928669e-08,autocorrelations,en,bus,duru,t1
7.647426547,1.573836409e-08,autocorrelations,en,bus,duru,t1
7.668264222,1.607792257e-08,autocorrelations,en,bus,duru,t1
7.689101896,1.66719562e-08,autocorrelations,en,bus,duru,t1
7.709939571,1.711426114e-08,autocorrelations,en,bus,duru,t1
7.730777245,1.755361162e-08,autocorrelations,en,bus,duru,t1
7.75161492,1.775359949e-08,autocorrelations,en,bus,duru,t1
7.772452594,1.831320566e-08,autocorrelations,en,bus,duru,t1
7.793290269,1.878784427e-08,autocorrelations,en,bus,duru,t1
7.814127943,1.907096071e-08,autocorrelations,en,bus,duru,t1
7.834965618,1.955061652e-08,autocorrelations,en,bus,duru,t1
7.855803292,1.966579317e-08,autocorrelations,en,bus,duru,t1
7.876640967,2.018686962e-08,autocorrelations,en,bus,duru,t1
7.897478641,2.07286157e-08,autocorrelations,en,bus,duru,t1
7.918316316,2.114839717e-08,autocorrelations,en,bus,duru,t1
7.93915399,2.148743903e-08,autocorrelations,en,bus,duru,t1
7.959991665,2.175348614e-08,autocorrelations,en,bus,duru,t1
7.980829339,2.206456467e-08,autocorrelations,en,bus,duru,t1
8.001667014,2.255378143e-08,autocorrelations,en,bus,duru,t1
8.022504688,2.281181303e-08,autocorrelations,en,bus,duru,t1
8.043342363,2.311806793e-08,autocorrelations,en,bus,duru,t1
8.064180038,2.36359244e-08,autocorrelations,en,bus,duru,t1
8.085017712,2.380191996e-08,autocorrelations,en,bus,duru,t1
8.105855387,2.404695579e-08,autocorrelations,en,bus,duru,t1
8.126693061,2.42899909e-08,autocorrelations,en,bus,duru,t1
8.147530736,2.460136425e-08,autocorrelations,en,bus,duru,t1
8.16836841,2.47630813e-08,autocorrelations,en,bus,duru,t1
8.189206085,2.536992854e-08,autocorrelations,en,bus,duru,t1
8.210043759,2.549469126e-08,autocorrelations,en,bus,duru,t1
8.230881434,2.559308263e-08,autocorrelations,en,bus,duru,t1
8.251719108,2.576743712e-08,autocorrelations,en,bus,duru,t1
8.272556783,2.598755913e-08,autocorrelations,en,bus,duru,t1
8.293394457,2.61855665e-08,autocorrelations,en,bus,duru,t1
8.314232132,2.645836435e-08,autocorrelations,en,bus,duru,t1
8.335069806,2.663730728e-08,autocorrelations,en,bus,duru,t1
8.355907481,2.700475555e-08,autocorrelations,en,bus,duru,t1
8.376745155,2.715997516e-08,autocorrelations,en,bus,duru,t1
8.39758283,2.716318678e-08,autocorrelations,en,bus,duru,t1
8.418420504,2.732190276e-08,autocorrelations,en,bus,duru,t1
8.439258179,2.741796707e-08,autocorrelations,en,bus,duru,t1
8.460095853,2.77381097e-08,autocorrelations,en,bus,duru,t1
8.480933528,2.785551264e-08,autocorrelations,en,bus,duru,t1
8.501771202,2.80174995e-08,autocorrelations,en,bus,duru,t1
8.522608877,2.825973321e-08,autocorrelations,en,bus,duru,t1
8.543446551,2.836163637e-08,autocorrelations,en,bus,duru,t1
